Date,BP
26-05-2022,6816
27-05-2022,6883
28-05-2022,5934
29-05-2022,6666
30-05-2022,6943
31-05-2022,6807
01-06-2022,6971
02-06-2022,6983
03-06-2022,6503
04-06-2022,6940
05-06-2022,6678
06-06-2022,7033
07-06-2022,6767
08-06-2022,7011
09-06-2022,7337
10-06-2022,7095
11-06-2022,7232
12-06-2022,7213
13-06-2022,7428
14-06-2022,6650
15-06-2022,6913
16-06-2022,6944
17-06-2022,7196
18-06-2022,7280
19-06-2022,7169
20-06-2022,6915
21-06-2022,7245
22-06-2022,7129
23-06-2022,7087
24-06-2022,7080
25-06-2022,7023
26-06-2022,7294
27-06-2022,7257
28-06-2022,6624
29-06-2022,7165
30-06-2022,6820
01-07-2022,6776
02-07-2022,6945
03-07-2022,6919
04-07-2022,7579
05-07-2022,7639
06-07-2022,7840
07-07-2022,7406
08-07-2022,7283
09-07-2022,6759
10-07-2022,6975
11-07-2022,7122
12-07-2022,7379
13-07-2022,7608
14-07-2022,7512
15-07-2022,6815
16-07-2022,7155
17-07-2022,7385
18-07-2022,6809
19-07-2022,7032
20-07-2022,7179
21-07-2022,7268
22-07-2022,7076
23-07-2022,7058
24-07-2022,7304
25-07-2022,7163
26-07-2022,6927
27-07-2022,6878
28-07-2022,7075
29-07-2022,7366
30-07-2022,7485
31-07-2022,7390
01-08-2022,7524
02-08-2022,7417
03-08-2022,7821
04-08-2022,8017
05-08-2022,7970
06-08-2022,7712
07-08-2022,7656
08-08-2022,7968
09-08-2022,7562
10-08-2022,7523
11-08-2022,7603
12-08-2022,8016
13-08-2022,8281
14-08-2022,8648
15-08-2022,8469
16-08-2022,8591
17-08-2022,8594
18-08-2022,8462
19-08-2022,7869
20-08-2022,7838
21-08-2022,7940
22-08-2022,7634
23-08-2022,7978
24-08-2022,7826
25-08-2022,7775
26-08-2022,6947
27-08-2022,8140
28-08-2022,7798
29-08-2022,7580
30-08-2022,7330
31-08-2022,7742
01-09-2022,7755
02-09-2022,6945
03-09-2022,7928
04-09-2022,8061
05-09-2022,8114
06-09-2022,7913
07-09-2022,8135
08-09-2022,7839
09-09-2022,7602
10-09-2022,7983
11-09-2022,8230
12-09-2022,7928
13-09-2022,8197
14-09-2022,8376
15-09-2022,8263
16-09-2022,8201
17-09-2022,7891
18-09-2022,8167
19-09-2022,8292
20-09-2022,8276
21-09-2022,8028
22-09-2022,8087
23-09-2022,8136
24-09-2022,8454
25-09-2022,8491
26-09-2022,8516
27-09-2022,8507
28-09-2022,8515
29-09-2022,8324
30-09-2022,8432
01-10-2022,8507
02-10-2022,7762
03-10-2022,7979
04-10-2022,8427
05-10-2022,8186
06-10-2022,8186
07-10-2022,7676
08-10-2022,7234
09-10-2022,8023
10-10-2022,8483
11-10-2022,8372
12-10-2022,7608
13-10-2022,7608
14-10-2022,8144
15-10-2022,8146
16-10-2022,8146
17-10-2022,8428
18-10-2022,8349
19-10-2022,7672
20-10-2022,7065
21-10-2022,7791
22-10-2022,8439
23-10-2022,8707
24-10-2022,7729
25-10-2022,8585
26-10-2022,8202
27-10-2022,7408
28-10-2022,7723
29-10-2022,7230
30-10-2022,7071
31-10-2022,7573
01-11-2022,7579
02-11-2022,7812
03-11-2022,7935
04-11-2022,8070
05-11-2022,8334
06-11-2022,8295
07-11-2022,8190
08-11-2022,8132
09-11-2022,7694
10-11-2022,7277
11-11-2022,7811
12-11-2022,8113
13-11-2022,8315
14-11-2022,8479
15-11-2022,8299
16-11-2022,8176
17-11-2022,7695
18-11-2022,7261
19-11-2022,7984
20-11-2022,7637
21-11-2022,8045
22-11-2022,8010
